
0;82.00303;-754.3954;-2162.612
60;87.99664;-753.8463;-2163.686
110;88.53854;-753.7772;-2163.683
140;90.10018;-752.707;-2164.175
160;91.69466;-751.001;-2164.789
210;82.89722;-750.2514;-2162.885
250;82.81445;-747.9549;-2161.916
270;83.1664;-745.1646;-2161.784
310;80.07468;-746.5082;-2161.597
340;78.3989;-746.8478;-2161.68
380;79.69073;-743.7405;-2161.167
410;79.92127;-743.3834;-2161.118
440;80.382;-742.8077;-2161.166
480;80.59702;-742.3645;-2161.157
510;80.76669;-742.2229;-2161.29
540;83.3123;-746.0208;-2164.711
570;81.8665;-747.3023;-2166.823
610;80.56415;-748.8708;-2168.258
640;82.51543;-751.0654;-2170.242
662;75.9277;-758.4991;-2169.297
712;76.12679;-757.5805;-2171.022
742;76.052;-757.4624;-2171.382
772;80.41877;-757.4268;-2173.067
802;80.36514;-757.0108;-2173.573
842;85.2504;-757.6497;-2175.152
872;87.54207;-758.3488;-2175.66
902;87.70647;-758.5287;-2175.743
942;88.22276;-758.647;-2175.959
972;88.63884;-758.8978;-2176.156
1002;88.71996;-759.0178;-2176.138
1042;88.58694;-759.1177;-2176.06
1072;89.18105;-759.3015;-2175.94
1102;89.06418;-759.7224;-2175.485
1142;88.73969;-760.7682;-2174.292
1172;88.35484;-760.9455;-2173.476
1202;88.01924;-761.4847;-2172.238
1242;87.24628;-761.5707;-2171.862
1272;87.23735;-761.6421;-2171.849
1302;87.15025;-761.6855;-2171.868
1342;87.06702;-761.9715;-2171.741
1372;86.81377;-762.3043;-2171.734
1402;86.61617;-762.6567;-2171.819
1442;86.6134;-762.6791;-2171.863
1472;86.50712;-762.7507;-2171.853
1502;84.06274;-762.9518;-2171.198
1532;84.28315;-763.197;-2171.175
1572;82.83152;-762.8036;-2170.687
1602;84.20783;-763.9934;-2170.692
1632;83.67236;-764.3213;-2170.385
1672;83.84903;-764.4604;-2170.495
1702;83.71841;-764.8048;-2170.462
1732;83.66399;-765.0643;-2170.419
1772;84.33355;-765.8889;-2171.051
1802;84.61137;-766.2895;-2171.445
1832;84.88596;-766.3493;-2171.69
1872;84.76545;-766.4992;-2171.817
1902;84.53304;-766.7099;-2171.853
1952;84.92377;-766.7781;-2172.028
1962;85.00746;-766.7704;-2172.171
2002;85.20308;-766.7691;-2172.349
2032;85.24713;-767.0602;-2172.636
2072;84.84766;-767.149;-2172.621
2104;85.0816;-766.908;-2172.769
2134;85.27717;-766.6364;-2172.987
2164;85.43945;-766.4153;-2173.12
2214;85.4481;-766.4736;-2173.187
2254;85.53032;-766.4152;-2173.357
2284;85.42726;-766.4897;-2173.353
2294;85.53024;-766.688;-2173.573
2334;85.69764;-766.7112;-2173.853
2384;85.60806;-766.8576;-2173.984
2414;84.83779;-767.2098;-2173.876
2444;84.15054;-767.815;-2173.876
2484;83.93254;-767.54;-2173.611
2514;84.32664;-767.4186;-2173.59
2544;84.74947;-767.2416;-2173.382
2564;85.03463;-766.7698;-2173.128
